,Product_Name,Alcohol_Percent,Alcohol_Capcity,Alcohol_Price
159,Bunnahabhain Canasta Cask Matured,51.2,70cl,94.95
160,Lagavulin 9 Year Old,46,70cl,79.95
161,Deanston 18 Year Old,46.3,70cl,89.95
162,Glenlivet 2007,58,50cl,79.95
163,Macallan 15 Year Old Double Cask,43,70cl,155
164,Kilchoman Loch Gorm,46,70cl,72.95
165,Oban Bay Reserve,43,70cl,67.95
166,Glenmorangie 18 Year Old,43,70cl,112
167,Clynelish 14 Year Old,46,70cl,49.95
168,Blair Athol 12 Year Old,43,70cl,48.95
169,Glenfiddich Project XX,47,70cl,50.75
170,Dalmore 12 Year Old,40,70cl,63.45
171,Lochlea Cask Strength,60.1,70cl,64.95
172,Glenfiddich 23 Year Old,40,70cl,240
173,Glenallachie 15 Year Old,46,70cl,71.75
174,Royal Lochnagar 12 Year Old,40,70cl,40.95
175,Aberlour 14 Year Old,40,70cl,59.95
176,Tobermory 12 Year Old,46.3,70cl,42.95
177,Clynelish Reserve,51.2,70cl,42.95
178,Bowmore 15 Year Old,43,70cl,65.95
179,Macallan 12 Year Old,40,70cl,89.95
180,Dailuaine 16 Year Old,43,70cl,59.95
181,Laphroaig 10 Year Old,58.6,70cl,73.95
182,Lagavulin Distillers Edition,43,70cl,91.95
183,Cardhu Gold Reserve,40,70cl,42.95
184,Glendronach 15 Year Old Revival,46,70cl,76.95
185,Glenfiddich 12 Year Old,40,70cl,36.95
186,Glenfarclas 10 Year Old,40,70cl,39.95
187,Port Charlotte 2013 PMC:01,54.5,70cl,108
188,Highland Park 12 Year Old with Cask Strength Mini Gift Set,41.6,75cl,38.95
189,Arran Sherry Cask,55.8,70cl,57.45
190,Ardbeg 10 Year Old,46,70cl,47.95
191,Kilchoman Sanaig,46,70cl,54.45
192,Deanston 12 Year Old,46.3,70cl,41.95
193,Benrinnes 15 Year Old,43,70cl,53.75
194,Glentauchers 2007,58.7,50cl,74.95
195,Mortlach 15 Year Old,46,70cl,87.95
196,Glenfiddich Fire and Cane,43,70cl,44.95
